pair_id,stratum,snag_a,snag_b,text_a,text_b,nn_similarity,label,labeller
147,chapter,101378,78595,FWD LAV O2 MASK FAILS MASK DROP TEST. GAINED ACCESS TO THE FWD LAV O2 MASK BY USING A PUSH PIN TO UNLOCK THE LATCHES. FOUND THE 2 MASK SPLICE PINS TO BE RECESSED. CORRECTLY CONNECTED SPLICE PINS IAW CRJ900 ESPM 20-44-00. INSTALLED MASK UNIT BY PUSHING UNIT UNTIL LATCHED. OP TEST OF THE FWD LAV O2 MANUAL DEPLOYMENT IS GOOD IAW CRJ900 AMM 35-20-00-710-803-A01. WVAC 53657,"DURING CRUISE CREW REPORTED R BLEED DUCT WARNING WITH CABIN DEPRESSURIZATION. FOLLOWING QRH PROCEDURES THE DESCENDED AND DECLARED EMERGENCY. PASSENGER OXYGEN MASKS WERE DEPLOYED WITH A FEW NOT DEPLOYED, ROWS 7 C7D AND 16 A&B. INSPECTED SEAT 7 C/D AND 16 A/B OXYGEN MASKS WITH NO DEFECTS NOTED. RESTOWED IAW AMM 35-21-03. PERFORMED OPERATIONAL CHECK IAW AMM 35-20-00. OPERATIONAL CHECK GOOD.",,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
148,chapter,118610,59903,CORROSION ON FUEL DUCTS BWT LBL 53 AND RBL 53 AND FS 797.00 AT LEFT & RIGHT MLG WHEEL WELLS. CORROSION ON FUEL DUCTS BWT LBL 53 AND RBL 53 AND FS 797.00 AT LEFT & RIGHT MLG WHEEL WELLS WAS REPAIRED PER REO 690-28-12-031 REV -.,"DURING INSPECTION OF THE TASK CARD 600-08E2-JIC, IT WAS DETECTED CRACK IN CANISTER WELDED NO.3, ON WS148.01 OF INTERNAL RH MAIN FUEL TANK. CRACK IN CANISTER WELDED NO.3, ON WS148.01 OF INTERNAL RH MAIN FUEL TANK WAS:REPAIR PER REO 670-57-42-577. REV. - -",,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
149,chapter,76494,37885,AIRCRAFT IN BASE MAINTENANCE: RIGHT HAND ELEVATOR #6 HINGE FITTING BEARING WORN. REPLACED HINGE FITTING PER AMM 55-16-42.,"DURING HEAVY MAINTENANCE: RUDDER ASSY HINGE FITTING BR1 WITH CRACK INDICATION; EC A24-811-01 ASSIGNED TO THIS REPAIR. DURING C9 CHECK ON N510JB (MSN 01280) AT MXA DATED JUN 2024, WHILE ACCOMPLISHING FORK END FITTING REPLACEMENT, CRACKED AND ELONGATED HOLE WERE FOUND AT HOLE #5 HINGE ARM BR1 ON VERTICAL STABILIZER. HOLE WAS REAMED TO 8.103MM DIAMETER BUT CRACK STILL PERSISTED (0.508MM IN LENGTH ON THE BOTTOM FLANGE OF HINGE ARM BR1). REFER TO REF /1/ EO FOR DETAILS.THE DAMAGE WAS EVALUATED AGAINST A320 SRM TASK 55-36-42-300-008, BUT WAS FOUND TO BE OUT-OF-LIMIT DUE TO THE HOLE DIAMETER. THEREFORE, AIRBUS WAS CONTACTED FOR ASSESSMENT AND PROVIDED REPAIR INSTRUCTIONS BY MEANS OF REF /2/ TD TO REPLACE HINGE ARM BR1 WITH PN: D553-71321-000-53 PER A320 SRM TASK 55-36-42-300-003 WITH DEVIATION FOR FASTENER PATTERN, PITCH AND EDGE MARGIN CONSIDERING AIRCRAFT MOD STATUS. THESE INSTRUCTIONS ARE APPROVED BY REF /3/ RDAF AS A CAT A PERMANENT REPAIR. EC A24-811-01 ACCOMPLISHES PERMANENT REPAIR PER THE REF /1/ EO AND COMPLIES WITH REF /3/ RDAF WITHOUT DEVIATION. SUBSTANTIATION: THIS REPAIR (PART REPLACEMENT) IS APPROVED AS CAT A REPAIR PER REF /3/ RDAF AND IS CLASSIFIED AS OTHER.",,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
150,chapter,151288,84921,AIRCRAFT WAS NOT GROUNDED: LEFT AFTER LAVATORY ENTRY DOOR WILL NOT OPEN. **SUPPLEMENTAL REPORT WILL BE SUBMITTED**(OPEN).,APU DOOR LWR ROD AFT SUPPORT BRACKET FITING CRACKED<[01] REMOVED APU DOOR LWR ROD AFT SUPPORT BRACKET FITTING IAW SRM 51-40-02-0G-0. REMOVED AND REPLACED FITTING P/N 148A2694-2 LOCATED AT BS.1156; APU DOOR LWR ROD AFT IAW SRM 51-40-02; DWG# 148A2690 REV: B.;[03] VERIFIED COMPLETION CORRECTIVE ACTION 2 AND MEASUREMENT TABLE.,,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
151,chapter,53192,100613,"AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED AND THE AIRCRAFT RETURNED TO ORD DUE TO THE FLIGHT CREW REPORTING THAT WHILE CLIMBING THRU FL250 THEY FELT AIRFRAME VIBRATION THAT LASTED ABOUT 20-30 SECONDS THAT COULD BE FELT ON THE RUDDER PEDALS. VIBRATION OCCURRED SECOND TIME AND LASTED ABOUT 30-40 SECONDS AND THE FLIGHT ATTENDANTS REPORTED THAT THE VIBRATION COULD BE FELT THRU OUT THE CABIN. ALL INDICATIONS WERE NORMAL AND NO ECAM MESSAGES. THE AIRCRAFT LANDED SAFELY AT ORD WITHOUT FURTHER INCIDENT. MAINTENANCE FOUND THE EXTERNAL POWER DOOR WAS BENT AND NOT FLUSH TO THE AIRCRAFT RESULTING IN IT STICKING OUT IN THE AIR STREAM ALONG WITH THE #2 ENGINE OIL SERVICE DOOR HAD EXCESSIVE PLAY. MAINTENANCE REPLACED THE EXTERNAL POWER DOOR PER AMM 52-42-12, (AALA202508253380). MAINTENANCE ALSO REPLACED ALL FOUR LATCHES ON THE #2 ENGINE OIL SERVICE DOOR PER CMM 71-13-14. (AALA202508259781)",AIRCRAFT WAS NOT GROUNDED: CORROIOSN SPIGOT FITTING RECEPTACLE ON RIGHT HAND PYLON. REPLACED SPIGOT FITTING RECEPTACLE PER A319 SRM 54-51-12.,,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
152,chapter,109125,61686,AIRCRAFT IN BASE MAINTENANCE: CORROSION ON AFT LEFT PASSENGER / CREW DOOR 832 CUT OUT LOWER SILL AFT CORNER SHAPE FITTING AT FR 68 AND S23L. REPLACED CORNER SHAPE FITTING PER SRM 51-72-11.,AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED AND THE AIRCRAFT DIVERTED TO LAS DUE TO THE FLIGHT ATTENDANT REPORTING A BURNING ELECTRICAL SMELL ALONG WITH A HOT FLOOR PANEL WITH A DARK SPOT ON IT IN THE FORWARD CABIN. AND DARK SPOT ON FLOOR IN FORWARD CABIN. THE AIRCRAFT LANDED SAFELY AT LAS AND TAXIED TO THE GATE UNDER ITS OWN POWER. MAINTENANCE FOUND THE BREAKER 2000VU A6 FOR THE FORWARD GALLEY RIGHT HAND HEATED FLOOR PANEL WAS POPPED AND THE FLOOR PANEL WAS THE SOURCE OF THE BURNING ELECTRICAL SMELL. MAINTENANCE DE-ACTIVATED THE HEATED FLOOR PANEL AND PLACED THE ITEM ON MEL. **SUPPLEMENTAL REPORT FOR AALA202503124784: MAINTENANCE REPLACED HEATED FLOOR PANEL 30DS AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK PER AMM 25-27-51.** (CLOSED),,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
153,chapter,51734,24276,ABORTED TAKE OFF DUE TO IDG 2 CAUTION MSG. CAUTION MSG CLEARED WHEN POWER BROUGHT BACK TO IDLE. QRH NOT PERFORMED. AIRCRAFT REMOVED FROM SERVICE. C/W M ACTION FOR MEL 24-11-01-01. REF 365898-3 FOR MEL IN WORK. REFERENCE WORK ORDER 337826 MAINTENANCE WORKCARD # 9-10. REMOVED AND REPLACED RIGHTHAND IDG. OPS CHECK GOOD AT THIS TIME. REMOVED PLACARD & FROM MEL.,"COMPLETE LOSS OF AC POWER IN FLIGHT. ADG DEPLOYED AUTOMATICALLY. POWER LOSS OCCURRED WHILE SELECTING FLAPS 8. RAN QRC/QRH AND RESTORED ALL AC POWER. NORMAL LANDING AND TAXI IN. (FLIGHT 5333) REFERENCE AML 1512638, AML 1512639, AML 1512641, AML 1512642, AML 1512645, AML 1512646, AML 1512663, AND AML 1512783.",,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
154,chapter,30125,105815,FOUND GOUGE ON PAX DOOR SURROUND EXTERIOR SKIN AT FS 345.0 APPROX. NEXT TO PAX DOOR PIANO HINGE. (C-CHECK RO 09/24/2025)REPAIRED GOUGE ON PAX DOOR SURROUND EXTERIOR SKIN APROX @FS345.0 IAW REO 601R-53-21-3763 REV -- DATE: 2025-07-30 AND COMPLIED WITH TASK CARD 51-900-1003-SKY,CORROSION FOUND ON THE R/H PRESSURE FLOOR JUST FWD OF FS559.0 (FILED OPEN),,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
155,chapter,99336,95517,AIRCRAFT WAS NOT GROUNDED: L1 DOOR EMERGENCY ACCUMULATOR REQUIRES SERVING IAW P.S CHECK. MAINTENANCE SERVICED L1 DOOR EMERGENCY ACCUMULATOR IAW AMM 52-10-00.,SHIP 3225 DISC: DONT PASS OPERATIONAL TEST EMERGENCY DOOR DAMPER ON PASSENGER CREW DOO R 832 (REFER TO AMDS CARD 5210-7089-LA RII). C/A: REPLACED EMERGENCY DOOR DAMPER. JOB COMPLETE (LP: 0273457),,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
156,chapter,43890,150614,PDA 2 FUEL CAP MISSING ON INBOUND ENGINEERING NOTIFIED. FUELER REPORTS AIRCRAFT CAME TO GATE WITHOUT FUEL CAP APPLIED CDL 28A FOR MISSING FUEL CAP NO LEAKS NOTED DEFERRED IAW CDL 28A DISPATCH DESK: 22 NAME: JV DATE: 24-JAN-24- FUEL CAP MISSING.,ATB - DUE TO FUEL QUANTITY INDICATION DISCREPANCIES. R/R FQIC. OPS CHECK GOOD.,,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
157,chapter,152449,131590,"FLIGHT 2041. EAGLE, BIRD STRIKE ON TAKEOFF. LG NOSE DOOR OPEN CAUTION MSG. RETURN TO FIELD. LANDING UNEVENTFUL. REMOVED FROM SERVICE. C/W BIRD STRIKE INSPECTION REF. E175 AMM 05-50-02-200-801-A. NO EVIDENCE OF ENGINE INGESTION NOTED. FOUND BROKEN RH NLG AFT DOOR LINKAGE TO BE CAUSE OF LG NOSE DOOR OPEN CAUTION MSG. REMOVED RH NLG AFT DOOR LINKAGE REF E175 AMM TASK 32-22-03-000-801-A. INSTALLED RH NLG AFT DOOR LINKAGE PER E175 AMM 32-22-03-400-801-A. ADJUSTMENT OF NEW PART REQUIRED. ADJUSTMENT MADE PER E175 AMM 32-22-03-820-802-A. A/C OKAY FOR SERVICE.","AFTER TAKEOFF WE SELECTED LANDING GEAR UP. THE GEAR DID NOT GO UP FOR APPROXIMATELY 60 SECONDS. WE DID RECEIVE A LG LEVER DISAG MASTER WARNING. GEAR WENT UP WHEN WE SELECTED FLAPS 1. WE RAN QRH THEN RETURNED TO THE DEPARTURE AIRPORT. (FLIGHT 3698 FILED CLOSED)THIS DISCREPANCY WAS TRANSFERRED TO CAMP ITEM 28276693 WITH THE FOLLOWING CORRECTIVE ACTION: "" TROUBLESHOT LG LEVER DISAG MASTER WARNING IN REFERENCE TO FIM 32-61-00-810-913-A00. SEE CP 28279162 FOR CORRECTIVE ACTION.""",,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
158,chapter,60908,63649,AIRCRAFT WAS NOT GROUNDED: EMERGENCY POWER SUPPLY UNIT 10WL BATTERY FAULT MESSAGE DISPLAYED DURING SYSTEM TEST. REPLACED BATTERY AND ACCOMPLISHED A SATISFACTORY OPERATIONAL CHECK PER AMM 33-51-38.,AIRCRAFT WAS NOT GROUNDED: BATTERY FAULT DISPLAYED FOR EMERGENCY POWER SUPPLY UNIT 13WL DURING SYSTEM TEST. REPLACED BATTERY AND ACCOMPLISHED A SATISFACTORY OPERATIONAL TEST PER AMM 33-51-38.,,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
159,chapter,93537,75162,"FLIGHT 2273. SULFUR OR SEWAGE SMELL COMING THROUGH CABIN GASPERS. CONFIRMED NO LAV CART IN AREA OF EXTERNAL AIR INTAKES. REMOVED FROM SERVICE. SMELL COMING FROM OUTSIDE SOURCE AFTER SOURCE REMOVED, SMELL DEPARTED. COULD NOT DUPLICATE. RETURNED TO SERVICE. NO PARTS REPLACED.",AIRCRAFT REQUIRES A MAJOR REPAIR AIRWORTHINESS RELEASE IAW GPM 12-05 PER ERS EJ 57MR 1620 & ERS-EJ-53MR-5044. (MAJOR REPAIR). C/W MAJOR REPAIR AIRWORTHINESS RELEASE IAW GPM 12-05 PER ERS EJ 57MR 1620 & ERS-EJ-53MR-5044,,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
160,chapter,55061,122829,SHIP 3239 DISC: ROW 31DEF EMERGENCY ESCAPE PATH LIGHTING INOP. C/A: RETERMINATED WIRES AT CONNECTOR 9160VC IAW A320 AWM 3351 AND A320 ESPM 20-44-10 OPS CHECK IS GOOD. REMOVED PLACARD AND CLOSED DEFERRAL. (LP: 5734769),"SHIP 3273 DISC: PASSENGER SEAT 17D ESCAPE PATH LIGHT CONNECTOR DAMAGED. C/A: FWD TO MCO PER MEL 33-50-03A. NO ""M"" PROCEDURES. PLACARD INSTALLED. (LP: 5490511)",,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
161,chapter,74400,46493,"FLT#1255, FLL-GYE. (AIRCRAFT PERFORMED AN AIR TURN BACK TO FLL) 'DURING CRUISE FLIGHT ON ND DISPLAY. -AMBER ""WX WEAK"" -RED ""R/T FAULT"" -TURNED RADAR OFF THEN ON OPERATED NORMALLY FOR 30 MINS THEN R/T FAULT; FOUND RADAR DRIVE UNIT AT FAULT. REMOVED AND REPLACED IAW MM 34-41-11, OPS CHECK GOOD.'",WX RADAR ANT INOP UPDATED MAA CODE FIX USING VENDOR MAA SCREEN PLEASE CONTACT TOMC BEFORE COMMENCING ANY WORK. UPDATED MAA CODE FIX USING VENDOR MAA SCREEN PLEASE PERFORM BITE TEST OF THE WEATHER RADAR PER AMM 34-41-00-740-002-A MAC METER INITIATED FOR WITH VENDOR ID V893132 MAC RELATED WORK ORDER 000000003112068 AND PRTR SYS INOP. PLACED ON MEL 3441B. DDP FOLLOWED STICKER INSTALLED SYS INOP. PLACED ON MEL 3441B. DDP FOLLOWED STICKER INSTALLED DISPATCH DESK: 21 NAME: RS DATE: 23-JUL-24- NOC DESK: 320 23-JUL-24- DEFERRED DIRECTLY BY TOMC PRIOR TO DEFERRAL STATED BITE TEST AMM 34-41-00-740-002-A FAILED DUE TO LACK OF AUDIO OUTPUTS MCDU GAVE WXR1/WRG:AUDIO OUTPUT MSG OPS TEST OF WEATHER RADAR SYSTEM IS GOOD. REF: AMM TASK 34-41-00-730-001-A.,,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
162,chapter,112270,121897,"FLT#1621, LHR-BOS. 'NAV ATC/XPDR 2 FAULT ON CLIMBOUT; PERFORMED OPS CHECK OF THE ATC 2 IAW 34-52-00 OPS CHECKS GOOD.'","FLT#1621, LHR-BOS. (ETOPS) 'CIDS 2 MAINTENANCE MESSAGE; ITEM ALREADY DEFERRED, REF LOG PAGE 4170932, ITEM 1 (REMOVED AND REPLACED GPWC IAW AMM 34-48-34. OPS CHECK GOOD. LATEST SOFTWARE (642) INSTALLED).'",,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
163,chapter,122091,88583,"DAMAGE TOLERANCE EVALUATION ( DTE ) REQUIRED FOR REPAIR AND MODIFICATION INSTALLED AT LH MLG KEEL BEEM PER ER/A 605553-14AD REV B. PER ER/A 605553-14AD REV C, DTE ACCOMPLISHED. ER/A SECTION III DAMAGE TOLERANCE TEMPORARY REPAIR REPLACEMENT/MODIFICATION IS REQUIRED AND IS TRACKED ON NEW LOG PAGE 0600865. PLEASE CLOSE THIS LOG PAGE, 0330978. DAMAGE TOLERANCE EVALUATION ( DTE ) REQUIRED FOR REPAIR AND MODI FICATION INSTALLED AT LH MLG KEEL BEEM PER ER/A 605553-14AD REV B. C/A: SECTION II LIMITED TO 182 DAYS AFTER 06MAY24. ER/A TO BE REVISED PRIOR TO THIS LIMIT ELSE REMOVE A/C FROM SERVICE. ASSOCIATED ER/A 14-605553.","SHIP 3276 DISC: DTE ERA 624310-14AD REV ORIGINAL. REPAIR AT AREA 3 PER ERA 624310-14AD REQUIRES DTE FOLLOW UP PRIOR TO 91,131 TOTAL FLIGHT CYCLES. C/A: REVISE / UPDATE ERA 624310-14AD WITH DTE RESULTS PRIOR TO 91,131 TOTAL FLIGHT CYCLES. ASSOCIATED AA 5311-01226 ADDED FOR AC 3276 ASSOCIATED ER/A 14-624310 ADDED FOR AC 3276. (LP: 0912913)",,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
164,chapter,22015,59977,"#2 ENG O/B T/R SLEEVE AFT OUTER SKIN DENTED PER HAECO LCQ N/R 9292111/20111 GEN BY V061642 REMOVED AND REPLACED #2 ENGINE O/B T/R SLEEVE IAW A320 AMM 78-32 -46-000-010-A/400-010-A BY MECH V077079 INSP BY V892285 ROTABLE PARTS CHANGE WAS INDICATED - TT # 1793036 SN OFF 4245 IPC REFERENCE # 7835-01021 SLEEVE, RH TRAN OFF 31-7835-9-0005 4245 ON 31-7835-9-0005 5182","AIRCRAFT WAS GROUNDED: AN EMERGENCY WAS DECLARED AND THE AIRCRAFT RETURNED TO PDX DUE TO RECIEVING ENGINE 1 THRUST REVERSER UNLOCK JUST AFTER TAKEOFF. THE FLIGHT CREW ACCOMPLISHED THE ECAM PROCEDURES WHICH INSTRUCTED THEM TO SHUT DOWN THE ENGINE. THE AIRCRAFT LANDED SAFELY AT PDX AND TAXIED TO THE GATE. MAINTENANCE REPLACED #1 ENG INBD THRUST REVERSER UPPER BLOCKER DOOR LATCH IAW AMM 78-31-19, ALSO REPLACED NR 1 ENG INBD THRUST REVERSER UPPER BLOCKER DOOR ACTUATOR IAW AMM 78-31-41. MAINTENANCE ALSO FOUND THE #1 ENGINE THRUST REVERSER HYD CONTROL UNIT DPI EXTENDED / TRIPPED & REPLACED HYD CONTROL UNIT IAW AMM 78-31-51. A SATISFACTORY LEAK & OPS CHECK WAS ACCOMPLISHED.",,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
165,chapter,141686,52314,"AIRCRAFT IN BASE MAINTENANCE: VALIDATION OF EXISTING REPAIR TO FORWARD CARGO COMPARTMENT TRANSITION PANEL AT STA 500B + 12 INCHES, LBL 24 REQUIRED. SPLICE REPAIR ACCOMPLISHED PER SRM 53-00-53-2R PROCEDURE 5.",AT TOP OF DECENT F/A REPORTED SMOKE IN CABIN. IDENTIFIED SOURCE AS PAX CELL PHONE BATTERY. EXTINGUISHED IN CONTAINMENT BAG. DIVERTED TO PBI AS PRECAUTION. NO OVERWEIGHT LANDING.<[01] VERIFIED SOURCE OF SMOKE AS PAX CELL PHONE BATTERY. PERFORMED SMOKE IN CABIN CONDITIONAL INSP PER AMM 05-51-56. SOURCE KNOWN. NO DAMAGE TO CABIN. A/C OK FOR SERVICE.,,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
166,chapter,49920,43610,"L/G LGCIU 2 FAULT-SEE ITEM # 3489776-1 FOR CORRECTIVE ACTION, REF RIN-15591 R+R PROX SNSR 29GA-A CONNECTOR IAW ESPM 20-44-11-01 & 20-48-21-01. BITE TEST OK IAW MM 32-69-00-710-001-A NO FAULT NOTED","AIRCRAFT WAS GROUNDED: AFTER GEAR HANDLE UP AFTER TAKEOFF, FIVE SECOND ECAM: LANDING GEAR NOT UPLOCKED. FLIGHT CREW REPORTED THAT THERE WAS MAYBE ALSO LANDING GEAR DOORS NOT CLOSED MESSAGE. MESSAGE WENT AWAY AND THE FLIGHT CREW COULD NOT RECALL IT BUT IT IS ON CFDS ECAM PAGE. FLIGHT CREW WAS NOT SURE WHICH GEAR INDICATED. MAINTENANCE ACCOMPLISHED TSM 32-31-00-810-808-A AND REPLACED THE FOLLOWING ITEMS: PRIORITY VALVE 1064GM (AALA202401232462), LANDING GEAR SYSTEM ISOLATION SAFETY VALVE 49GA (AALA202401239135) AND RELAY 62GA (AALA202401238893). A SATISFACTORY LEAK / OPERATIONAL CHECK WAS ACCOMPLISHED.",,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
167,chapter,51755,126772,"AUTOTHROTTLE FAILED PASSING 10,000 FT ON CLIMB. ""AT FAIL"" EICAS MESSAGE AND ALARM. RE-ENGAGED AT AFTER 30 SECONDS. AT FAIL AGAIN AND WOULD NOT RE-ENGAGE (AUTOTHROTTLE CHANNELS – BOTH INOPERATIVE). REMOVED FROM SERVICE. INTERROGATED CMC FOUND FC'S 22310013TA1(2). PER E175 FIM 22-31-00-810-811-A00 REMOVED AND REPLACED THRUST CONTROL QUADRANT IAW E175 AMM 76-11-01-000/400-801-A OPS TESTS GOOD. RETURNED TO SERVICE.","""OVRD"" ANNOUNCED ON FMA ON CLIMB OUT (BEFORE ACCELERATION HEIGHT) WITH NO PILOT INPUT AND NO MOVEMENT OF THROTTLES. (AUTOTHROTTLE CHANNELS – BOTH INOPERATIVE). REMOVED FROM SERVICE. NO AUTO THROTTLE RELATED FAULTS NOTED IN CMC MAINT MSGS OR AHEAD PRO. NO AUTO THROTTLE FAULTS ACTIVE ON ARRIVAL. PERFORMED OPERATIONAL TEST OF AUTO THROTTLE/THRUST CONTROL QUADRANT (TCQ) INTERFACE. IAW E175 AMM 22-31-00-710-801-A. OPERATIONAL TEST GOOD. NO FAULT NOTED. DUE TO RECENT AND AS A PRECAUTIONARY MEASURE, REMOVED THRUST CONTROL QUADRANT REF E175 AMM TASK 76-11-01-000-801-A AND PLACED ON S.O.S. INSTALLED SERVICEABLE THRUST CONTROL QUADRANT REF E175 AMM TASK 76-11-01-400-801-A FUNCTIONAL TEST CHECK GOOD REF. E175 78-30-01-720-801-A. PERFORMED TAKEOFF/GO-AROUND (TOGA) SWITCH OPERATIONAL TEST AND AUTO THROTTLE/THRUST CONTROL QUADRANT (TCQ) INTERFACE OPERATIONAL TEST. IAW E175 AMM 22-11-00-710-801-A AND AMM 22-31-00-710-801-A. OPERATIONAL TESTS GOOD, NO FAULTS NOTED. RETURNED TO SERVICE.",,1,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
168,chapter,110378,74773,LEFT WING INBOARD FIXED TRAILING EDGE WEB; BRACKET WITH CURVED SEAL CRACKED. STREAMER STUFFED INTO CURVED SEAL TO AID IN LOCATION.<[01] REMOVED WEB; BRACKET & SEAL RETAINER IAW B737-700 SRM 51-40-02. RECEIVED NEW BRACKET PN: 115A2953-1 PO# 1098329.1 IAW B737-700 AIPC 57-50-00-25A. LOCATED & DRILLED IAW B737-700 SRM 51-40-05. INSTALLED 1EA NEW BRACKET; 1EA SEAL RETAINER & WEB IAW B737-700 SRM 51-40-02; AIPC 57-50-00-25A & AMM 20-50-11-910-801 TABLE 205. TORQUE WRENCH TOOL# T8927V CAL DUE: 13/JUN/25.;[02] REMOVED WEB; BRACKET & SEAL RETAINER IAW B737-700 SRM 51-40-02. RECEIVED NEW BRACKET PN: 115A2953-1 PO# 1098329.1 IAW B737-700 AIPC 57-50-00-25A. LOCATED & DRILLED IAW B737-700 SRM 51-40-05. INSTALLED 1EA NEW BRACKET; 1EA SEAL RETAINER & WEB IAW B737-700 SRM 51-40-02; AIPC 57-50-00-25A & AMM 20-50-11-910-801 TABLE 205. TORQUE WRENCH TOOL# T8927V CAL DUE: 13/JUN/25.,CRACK ACCESS PANEL 661BB TRAILING EDGE AROUND HOLES RT WING 2024-533518<[01] TOOL USED: CALIPER P/N: 500-197-30 S/N: A18229508 DUE DATE: 14-JAN-25;[02] TOOL USED HOT BONDER P/N HCS9200B-AV S/N 18175478 DUE DATE 25/JAN/25;[03] TOOL USED: SCALE P/N: CR5200 S/N: 8342514597 DUE DATE: 28/FEB/25.;[04] TOOL USED: HOT BONDER P/N: HCS9200B-AV S/N: 18196127 DUE DATE: 25/JAN/25.;[05] TOOL USED ON STEP 12:ULTRASONIC FLAW DETECTOR P/N:EPOCH 650; S/N:201036102; DUE DATE:12-OCT -24.;[06] REPAIRED ACCESS PANEL 661BB TRAILING EDGE RT WING IAW B737-700 SRM 51-70-04-2R-10 REPAIR 10. SEE INDIVIDUAL SIGNOFFS BELOW.;[07] REPAIRED ACCESS PANEL 661BB TRAILING EDGE RT WING IAW B737-700 SRM 51-70-04-2R-10 REPAIR 10. SEE INDIVIDUAL SIGNOFFS BELOW.,,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
169,chapter,27065,61550,FWD RH R1 SLIDE EMERGENCY LIGHT INOP. RE-LAMPED FWD RH R1 SLIDE EMERGENCY LIGHT IAW 33-51-04.,CAPT SIDE AFT OVERWING EXIT LIGHT ASSY COVER MISSING <[01]. INSTALLED EXIT LIGHT COVER IAW AMM 33-51-01 ACFT OK FOR SVC.,,0,"Claude Fable 5.1 (hand-labelled by reading each pair, 2026-09-09); rubric in docs/EVALUATION.md"
